layer,top_prediction,target_rank,target_prob
0, an,1715,7.931929576443508e-05
1, unin,1477,0.00012022253940813243
2," """,1354,0.00013512086297851056
3," """,1491,0.00012412614887580276
4," """,1432,0.0001287833583774045
5," """,1266,0.00014083203859627247
6, significant,1880,9.099051385419443e-05
7,ird,1703,9.54164206632413e-05
8, major,1719,9.516740828985348e-05
9, specific,2226,6.970924732740968e-05
10, specific,1327,0.00011566616012714803
11, specific,1493,0.00010185082646785304
12, significant,1292,0.0001141267130151391
13, specific,988,0.0001517261698609218
14, specific,755,0.00019274385704193264
15, specific,1075,0.00011316761811031029
16, specific,1186,9.678090282250196e-05
17, specific,634,0.00018823976279236376
18, specific,203,0.0005835819756612182
19, specific,251,0.0005179190775379539
20, specific,69,0.0021709385327994823
21, entity,29,0.004916057456284761
22, element,25,0.006741373334079981
23, element,25,0.006809791550040245
24, element,20,0.008962097577750683
25, element,15,0.012347187846899033
26, entire,13,0.019520213827490807
27, item,10,0.02285958267748356
28, item,8,0.023340582847595215
29, item,8,0.03010057471692562
30, item,5,0.0631774514913559
31, article,5,0.05627452954649925
32, item,5,0.05990342050790787
33, article,2,0.07563773542642593
34, image,1,0.09694325178861618
35, image,1,0.07159094512462616
