layer,top_prediction,target_rank,target_prob
0, screen,1973,3.0230198717617895e-06
1, screen,176,0.0003298227093182504
2,writer,75,0.0007482749642804265
3,writing,70,0.0009431482176296413
4,writer,107,0.000676809111610055
5,writer,51,0.00117139529902488
6,writing,133,0.00044492000597529113
7,writing,72,0.0008321608183905482
8,writer,58,0.0012951043900102377
9,writer,79,0.0010246977908536792
10,writer,62,0.0011903455015271902
11,writer,60,0.001293528126552701
12,writer,67,0.0012030674843117595
13,writer,78,0.0008022452238947153
14,writer,226,0.0003985878429375589
15,writer,355,0.0002873096673283726
16,writer,219,0.00046595625462941825
17,writer,197,0.00048051137127913535
18, door,309,0.00034462710027582943
19, door,166,0.0006554204737767577
20,writer,198,0.0005153106176294386
21, door,149,0.0006578809698112309
22, device,71,0.0014136683894321322
23, door,72,0.001601414754986763
24, door,42,0.003540556877851486
25,writer,45,0.0033649129327386618
26, device,37,0.0042217024601995945
27, device,40,0.004731777589768171
28, device,30,0.006969480309635401
29, to,26,0.0077659133821725845
30, to,17,0.012132508680224419
31, to,5,0.0287337563931942
32, to,5,0.025761453434824944
33, to,2,0.05061717703938484
34, to,2,0.0929407998919487
35, reader,1,0.3197171092033386
