layer,top_prediction,target_rank,target_prob
0, not,1142,8.867661381373182e-05
1, not,1254,0.00010937923070741817
2, not,1470,9.960325405700132e-05
3, not,1853,8.825238182907924e-05
4, not,1442,0.00010559282236499712
5, not,2264,6.897940329508856e-05
6, not,3629,3.960154936066829e-05
7, not,5174,2.40910940192407e-05
8, not,4643,2.640825005073566e-05
9, reportedly,2116,6.697179924231023e-05
10, usually,2016,7.047104008961469e-05
11, usually,1828,8.44281239551492e-05
12, usually,745,0.00019699979748111218
13, currently,444,0.00029047171119600534
14, currently,472,0.00026205534231849015
15, usually,435,0.0002520701673347503
16, designed,190,0.000539323256816715
17, usually,279,0.0003719800151884556
18, usually,154,0.0005149126518517733
19, usually,103,0.0007302095764316618
20, usually,102,0.0005845080013386905
21, usually,63,0.001209517940878868
22, usually,38,0.0023535541258752346
23, usually,37,0.002170432126149535
24, a,24,0.00447548134252429
25, a,14,0.009640268981456757
26, a,10,0.012204925529658794
27, a,7,0.009168349206447601
28, a,7,0.004682073835283518
29, a,9,0.0021610213443636894
30, a,5,0.00404246523976326
31, a,8,0.003039285773411393
32, a,8,0.0028159399516880512
33, a,7,0.005685755982995033
34, a,6,0.008434289135038853
35, a,6,0.010880022309720516
