layer,top_prediction,target_rank,target_prob
0, the,6712,2.0668576325988397e-05
1, the,2927,3.9184975321404636e-05
2, example,5262,2.2443962734541856e-05
3, the,10468,7.184917649283307e-06
4, the,14707,2.5258784717152594e-06
5, the,7790,9.109833627007902e-06
6, the,2189,4.9998776376014575e-05
7, the,809,0.00018673371232580394
8, ',1147,0.0001244336017407477
9, the,4352,1.705417707853485e-05
10, the,5490,5.835154752276139e-06
11, the,5160,5.261755632091081e-06
12, acronym,2736,6.643136657658033e-06
13, Universal,1897,7.031163022475084e-06
14, International,438,4.025781527161598e-05
15, Universal,50,0.0008477482479065657
16, Universal,45,0.0011433244217187166
17," """,40,0.0016755253309383988
18, W,38,0.0030424646101891994
19, W,31,0.0037553426809608936
20, World,21,0.007194887846708298
21, W,21,0.007707788608968258
22, World,16,0.011785552836954594
23," """,15,0.009295309893786907
