layer,top_prediction,target_rank,target_prob
0, Explorer,1334,0.00010365184425609186
1, Explorer,261,0.00041591699118725955
2, Explorer,110,0.001164985354989767
3, Explorer,28,0.003562433645129204
4, Explorer,19,0.0070029497146606445
5, sites,69,0.002202095929533243
6, sites,52,0.003094986081123352
7, sites,27,0.0058196838945150375
8, sites,57,0.0018614432774484158
9, sites,56,0.0017742746276780963
10, sites,99,0.0011029640445485711
11, Services,51,0.002764044562354684
12, Services,61,0.0017676441930234432
13, Services,28,0.003695898223668337
14, Services,10,0.007819241844117641
15, Access,18,0.004327797330915928
16, Access,14,0.005228159483522177
17, Access,17,0.004705946892499924
18, Access,7,0.008311879821121693
19, Access,8,0.005644981749355793
20, Access,5,0.014714903198182583
21, Access,5,0.0188665259629488
22, Access,13,0.00620263023301959
23, Access,3,0.026556100696325302
